ResponseId,Q75_SHARED_1,Q75_SHARED_2,Q75_SHARED_3,Q75_SHARED_4,Q75_SHARED_5,Q75_SHARED_6,Q75_SHARED_7,Q75_SHARED_8,Q37_SHARED_1,Q37_SHARED_2,Q37_SHARED_3,Q37_SHARED_4,Q37_SHARED_5,Q37_SHARED_6,Q37_SHARED_7,Q37_SHARED_8,Q38_SHARED_1,Q38_SHARED_2,Q38_SHARED_3,Q38_SHARED_4,Q38_SHARED_5,Q38_SHARED_6,Q38_SHARED_7,Q38_SHARED_8,Q40_SHARED_1,Q40_SHARED_2,Q40_SHARED_3,Q40_SHARED_4,Q40_SHARED_5,Q40_SHARED_6,Q40_SHARED_7,Q40_SHARED_8,Q41_SHARED_1,Q41_SHARED_2,Q41_SHARED_3,Q41_SHARED_4,Q41_SHARED_5,Q41_SHARED_6,Q41_SHARED_7,Q41_SHARED_8,Q43_SHARED_1,Q43_SHARED_2,Q43_SHARED_3,Q43_SHARED_4,Q43_SHARED_5,Q43_SHARED_6,Q43_SHARED_7,Q43_SHARED_8,Q52_SHARED_1,Q52_SHARED_2,Q52_SHARED_3,Q52_SHARED_4,Q52_SHARED_5,Q52_SHARED_6,Q52_SHARED_7,Q52_SHARED_8,Q53_SHARED_1,Q53_SHARED_2,Q53_SHARED_3,Q53_SHARED_4,Q53_SHARED_5,Q53_SHARED_6,Q53_SHARED_7,Q53_SHARED_8,Q57_SHARED_1,Q57_SHARED_2,Q57_SHARED_3,Q57_SHARED_4,Q57_SHARED_5,Q57_SHARED_6,Q57_SHARED_7,Q57_SHARED_8,Year,Quarter,LOB,WAVE
R_4MZSLqKS7zrWaBo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,2,,4,,3,,,,7,,3,,6,,2025,Q1,CL,3
R_9YWupTDTIsaKCQm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,,1,1,5,,,2,4,,2,8,1,,,8,7,,2025,Q1,CL,3
R_cIwwJWMefdcIizQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,4,,,1,4,3,,,1,,,8,2,3,,,2025,Q1,CL,3
R_2bJIEHRuPHnpih8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2025,Q1,CL,3
R_4Sl3bfTheQXaRbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,5,,3,,,,,,8,,8,,,2025,Q1,CL,3
R_6CHH9HYS7DcyUyw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,5,5,3,,2,4,4,,4,1,6,,6,2,7,,2025,Q1,PL,3
R_6j6ZoRKDJa572o1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,2,4,,2,3,2,2,2,,,,1,1,,,1,3,4,,2,3,3,3,2,1,1,,,1,1,1,,3,5,,,4,4,4,,3,4,,,1,2,6,,2025,Q1,PL,3
R_6OfaGL4LMP08IC0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,1,1,1,1,1,1,1,,2,3,4,2,3,3,3,,8,4,8,1,1,2,6,,2025,Q1,PL,3
R_5flPlACkPG9CmvP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,4,4,4,5,5,4,,,4,8,8,1,2,6,,2025,Q1,PL,3
R_33xs7NSSJsV4L7S,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,2,,2,,,,1,1,1,,1,,,,5,4,5,,4,,,,6,1,1,,2,,,2025,Q1,PL,3
R_12QEuLxtJDEmUXb,1,1,,,,,,1,,,,,,,,1,,,,,,,,5,4,4,,,,,,4,,,,,,,,1,5,5,,,,,,5,1,1,,,,,,,5,5,,,,,,,2,7,,,,,,,2025,Q1,PL,3
R_3mkCxxbKiRhdNO9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,3,3,4,1,2,3,,,8,8,8,1,1,2,,,2025,Q1,PL,3
R_11asraRjf3i447y,1,1,1,1,1,1,1,1,,,,,1,,,,,,,,5,,,,4,4,4,5,5,5,4,3,,,,,,,,,5,4,4,4,5,4,5,5,1,1,1,1,1,1,1,,4,3,4,4,4,4,5,,3,4,3,1,1,2,6,,2025,Q1,PL,3
R_5tbAJfU5pkw6Aox,1,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,2,2,,,,,,,1,1,1,1,1,1,1,,3,3,3,3,3,3,3,,8,4,8,1,1,2,6,,2025,Q1,PL,3
R_3P67mmpVnJcyr3F,,,,,1,,,,,,,,1,,,,,,,,4,,,,,,,,2,,,,,,,,1,,,,,,,,4,,,,1,1,1,1,1,1,1,,5,5,5,3,5,2,3,,8,4,8,8,1,2,6,,2025,Q2,CL,4
R_7FJ4fZP5v4YZkuw,,1,,,1,1,,1,,1,,,1,,,1,,4,,,3,,,5,,5,,,4,4,,5,,1,,,1,,,1,,4,,,4,5,,4,1,,,1,,,,,5,,,4,,,,,4,,,2,,,,,2025,Q2,CL,4
R_6izouvNN8MBXFeP,,1,,,,,1,,,1,,,,,,,,5,,,,,,,,5,,,,,4,,,1,,,,,,,,5,,,,,4,,1,,,,,,,,4,,,,,,,,6,,,,,,,,2025,Q2,CL,4
R_5dlNxYzsPdq3vI4,,1,,1,,,,,,,,1,,,,,,,,5,,,,,,3,,5,,,,,,,,1,,,,,,2,,5,,,,,,,,,,1,1,,,,,,,1,2,,,,,,,2,6,,2025,Q2,CL,4
R_6VOMMCs4acvfJsD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,,4,3,2,1,,4,3,,8,4,8,8,,2,6,,2025,Q2,CL,4
R_6sqMYMniB9OefXX,1,1,,,1,,,1,,1,,,,,,,,3,,,,,,,4,5,,,3,,,3,,1,,,,,,,2,4,,,2,,,1,1,1,1,1,1,1,1,,2,4,4,3,2,4,2,,8,4,8,8,1,2,6,,2025,Q2,CL,4
R_1CwdrhxVfWFVyYy,,,,1,,,,,,,,1,,,,,,,,4,,,,,,,,4,,,,,,,,1,,,,,,,,4,,,,,,1,1,1,1,1,1,,,4,4,5,5,4,4,,,8,8,8,1,2,6,,2025,Q2,CL,4
R_3snSTqbwH9QTFTu,1,1,,,,,1,1,1,1,,,,,1,1,5,5,,,,,5,5,5,5,,,,,5,5,1,1,,,,,1,,5,5,,,,,5,5,1,1,1,,1,1,1,,5,5,5,,5,5,5,,4,6,2,,1,6,7,,2025,Q2,CL,4
R_6erwWHSSxkQ8kvl,,,,,1,1,1,1,,,,,1,,,,,,,,4,,,,,,,,4,2,3,3,,,,,1,,,,,,,,3,2,2,2,1,1,,,1,1,,,2,2,,,2,3,,,8,8,,,1,2,,,2025,Q2,CL,4
R_3Ovia05fo72NF73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,3,3,,,,,,,8,8,,,,,,,2024,Q3,PL,1
R_3NzFyasp1ESHzGh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,5,5,5,,5,5,,,8,4,8,,1,2,,,2024,Q3,PL,1
R_1syo4YuO6LsG1dT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,,4,4,4,,,5,5,,8,4,8,,,2,6,,2024,Q3,PL,1
R_3PgLDQH3JraJAja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,4,4,4,,3,3,4,,8,4,8,,1,2,6,,2024,Q3,PL,1
R_3yGWGsSUPIJT1df,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,1,1,1,,1,1,,,5,2,3,,3,3,,,8,8,8,,8,8,,,2024,Q3,PL,1
R_6PBuOlJgXoWBuMG,1,1,,,,,,,1,1,,,,,,,5,5,,,,,,,4,5,,,,,,,1,,,,,,,,5,4,,,,,,,,,1,1,,,,,,,4,5,,,,,,,3,7,,,,,2024,Q3,PL,1
R_7fPr9XFNKqJ3rJj,1,1,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,3,4,,,3,,,,1,1,,,,1,,,2,5,,,,5,,,8,8,,,,2,,,2024,Q3,CL,1
R_1q7CjBp4vOvgYNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,1,2,,3,,2,2,,8,8,,8,,2,6,,2024,Q3,CL,1
R_1eWXKvFy6bL4kwe,,1,1,1,1,,,,,1,1,,,,,,,5,5,,,,,,,5,5,5,5,,,,,1,,1,,,,,,5,5,5,5,,,,1,1,,1,1,1,,,5,5,,5,5,5,,,2,1,,3,6,7,,,2024,Q3,CL,1
R_33d1yNbb2GsZeFm,1,1,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,2,4,,,,,,,1,1,1,,1,1,1,,4,5,4,,5,5,4,,3,4,3,,1,2,1,,2024,Q3,CL,1
R_5RjzPozL2iPVrMJ,1,1,,1,,,1,,,,,,,,,,,,,,,,,,3,3,,2,,,3,,,,,,,,,,3,3,,4,,,4,,1,1,1,1,1,1,1,,3,5,3,3,5,4,4,,8,4,8,8,1,2,6,,2024,Q3,CL,1
R_7PU9lctOytfm9ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,5,5,3,,4,4,4,,8,8,8,,1,2,6,,2024,Q3,CL,1
R_5FXimbnuKxQGgNz,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,1,1,1,,1,1,1,,1,5,2,,5,5,3,,8,4,8,,1,2,6,,2024,Q3,CL,1
R_7HHvjGyCTvY1lmF,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,,,1,1,,2,4,3,,,3,3,,1,2,1,,,2,6,,2024,Q3,CL,1
R_7nk0CBkyCbnW4ZO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Q2,PL,4
R_5VrSMaN2WIRsCpC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,4,4,4,,2,1,,,8,8,8,,1,2,,,2025,Q2,PL,4
R_1l8hSETeizITzsl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,,3,5,5,,,3,5,,4,4,3,,,2,3,,2025,Q2,PL,4
R_6fIBXUfNWnjyYLd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Q2,PL,4
R_6nN48cNcofPEfIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,3,4,4,4,4,4,,,8,8,8,8,2,2,,,2025,Q2,PL,4
R_3zi2kKB2yZ7uc4M,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,1,,,1,,,1,1,1,,1,1,1,1,1,1,1,,5,4,1,2,2,1,4,,3,4,7,1,7,1,7,,2025,Q2,PL,4
R_7SpZxOTeNhNiD3J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Q2,PL,4
R_7fvHJrKsVvFllh6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,1,,1,1,,,1,1,1,,3,3,,,2,2,2,,8,4,,,1,2,6,,2025,Q2,PL,4
R_7akMwEGRM8sSqmh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,3,3,3,,2,3,5,,8,4,8,,1,2,6,,2025,Q2,PL,4
R_7pPRRcZLMcNbmVZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,,1,1,2,,,1,4,,8,8,8,,,2,6,,2025,Q2,PL,4
R_5RmwKrXrcv0urbQ,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,1,1,1,,1,1,1,,2,3,3,,4,4,4,,8,4,8,,1,6,3,,2025,Q2,PL,4
R_5HtszUSR1RMr6XT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,,3,3,3,4,,3,3,,8,2,8,8,,2,6,,2025,Q2,PL,4
R_589rLKSOnyNU7Ul,,1,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,1,,,,,,,,3,,,,,3,,1,1,1,,,1,,,4,3,3,,,3,,,5,4,3,,,2,,,2025,Q2,PL,4
R_7GBJj3gPXgzwHqF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Q2,PL,4
R_5IcgilcfBEb1TGx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Q2,PL,4
R_7nUz8iJ0nlgUTuv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,4,2,3,3,3,2,3,,1,6,7,1,3,2,1,,2025,Q2,PL,4
R_3Llm6itVch8PecF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Q2,PL,4
R_3QJVmDSGAefbVpv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Q2,PL,4
R_3Rw41bq2xf6kLxU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Q2,PL,4
R_6A1ZmbOOVTwLM7T,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,1,1,1,1,1,1,1,,4,5,3,3,2,2,3,,8,8,8,8,1,2,6,,2025,Q2,PL,4
R_7sdbjFLKSktb8dP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,8,,,,,,,,2025,Q2,PL,4
R_3WTZ621SpzUjNVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,3,,,,2,5,,,5,,,,1,5,,2024,Q4,CL,2
R_0xk5s0c7OGRkoHY,,1,,1,,,,1,,,,,,,,1,,,,,,,,4,,2,,5,,,,4,,1,,,,,,1,,2,,2,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,2024,Q4,CL,2
R_bl6Hj7Eu12Vcd0i,1,,,1,1,1,1,,1,,,1,1,,1,,1,,,2,2,,5,,4,,,5,1,2,5,,1,,,,,,1,,3,,,2,3,4,5,,,,,,,,,1,,,,,,,,,,,,,,,,,2024,Q4,CL,2
R_1U1udJHum9X6byK,,,,,1,,1,1,,,,,1,,1,1,,,,,3,,1,5,,,,,1,,4,4,,,,,1,,1,1,,,,,4,,5,3,,,,,,,,1,,,,,,,,,,,,,,,,,2024,Q4,CL,2
R_9mApT2lkjDTf9em,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2024,Q4,CL,2
R_8vRYg74E4a0LqUS,,,1,,1,,,1,,,1,,1,,,1,,,4,,1,,,1,,,3,,4,,,3,,,1,,,,,,,,5,,1,,,2,,,,,1,,1,,,,,,2,,2,,,,,,5,,2,,2024,Q4,CL,2
R_3I9wGOX3UMoytV6,,,,1,1,,,,,,,,1,,,,,,,,2,,,,,,,3,2,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,1,,,4,3,,,,2,,,5,4,,,,2,,,2024,Q4,PL,2
R_7zVV5VSnxTafmG5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,,3,3,3,,,3,3,,1,4,8,,,2,6,,2024,Q4,PL,2
R_79b5weN6dzU6zUK,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,1,1,1,,,1,1,,5,5,5,,,4,4,,8,8,8,,,2,8,,2024,Q4,PL,2
R_5mkjGV6WFnhKGA9,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,3,,,3,,3,3,,,,,,,,,,3,,,3,,3,3,1,1,1,,1,1,1,,5,4,5,,5,5,5,,2,4,3,,1,2,6,,2024,Q4,PL,2
R_19qDg4uQAKswTE5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,1,1,,,1,1,,,3,3,,,3,4,,,8,8,,,1,2,,,2024,Q4,PL,2
R_7MRhtBBt7XpKLhI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,4,2,,,,4,,,8,8,,,,2,,,2024,Q4,PL,2
R_7sbs78HnBebqKs1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,,,1,1,1,1,1,1,1,,3,4,3,3,3,3,4,,8,4,8,8,1,2,6,,2024,Q4,PL,2
R_6aLGFZGALuvTc0F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,2,,,,3,3,3,,8,,,,1,2,6,,2024,Q4,PL,2
R_3ltr2axrWU6PkTE,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,,4,4,5,4,4,4,4,,8,4,3,1,1,2,6,,2024,Q4,PL,2
R_3pyRJ8xrB88pdCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,5,5,5,,5,5,5,,8,4,8,,1,2,2,,2024,Q4,PL,2
R_7kpI6LUMfe8EPhe,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,4,5,,5,4,5,,,,1,,,1,1,,,5,5,,4,4,4,,,1,,1,,1,,,,4,,4,,5,,,,6,,1,,4,,,2024,Q4,PL,2
R_1DTcUgfv74M9hDq,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,1,,1,1,1,,,1,1,,4,5,4,,,3,3,,8,8,8,,,2,8,,2024,Q4,PL,2
R_3EG7T67A2NOuet6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,1,3,1,1,1,1,2,,8,4,8,8,1,2,8,,2024,Q4,PL,2
R_5fBYnOujxiMU0wH,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,1,1,1,1,,1,1,,,3,3,3,,3,3,,,3,4,5,,6,1,,,2024,Q4,PL,2
R_3DpTokXDC0aRLYc,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,1,1,1,,1,1,1,,2,2,2,,5,4,3,,8,8,8,,1,2,6,,2024,Q4,PL,2
R_7Vg5CqiKpWefB3m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,3,4,3,,5,4,,,8,8,8,,4,3,,,2024,Q4,PL,2
R_8tU3MDsacqUAigK,,,1,,,1,,1,,,1,,,1,,,,,2,,,2,,,,,5,,,3,,1,,,1,,,1,,,,,4,,,5,,1,,,,,,,,1,,,,,,,,,,,,,,,,,2025,Q1,CL,3
R_2geP1RCYxEI2K3k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2025,Q1,CL,3
R_3BJ6uWmjueBuNxk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2025,Q1,CL,3
R_02OdG4Ntl0PUNz8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,2,,,,,,,2,1,,,,,2025,Q1,CL,3
R_9EuZPeFC2Yng1Ho,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,1,,,1,,,,,3,,,2,,,,,2,,,5,,,,,2025,Q1,CL,3
R_80bWWuIKbvzsILQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,1,5,2,5,1,5,5,,4,1,2,3,1,7,1,,2025,Q1,CL,3
R_6M3sGArt0qVE5IG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2025,Q1,CL,3
R_b7rmO6r2mKZuBKu,,1,1,1,,,1,,,,,1,,,,,,,,5,,,,,,3,5,2,,,5,,,,,,,,1,,,4,3,4,,,1,,,1,1,,1,1,,,,4,2,,4,4,,,,6,2,,1,7,,,2025,Q1,CL,3
R_6tg3xSTlFhzleOm,1,,1,,,1,,,,,1,,,,,,,,4,,,,,,4,,2,,,4,,,,,,,,1,,,3,,2,,,4,,,,1,,1,,,1,,,4,,3,,,3,,,1,,6,,,7,,2025,Q1,PL,3
