ResponseId,Q3_SHARED,Q19_SHARED,Q11_SHARED,Q16_SHARED,Q17_SHARED,Q18_SHARED,Q4_SHARED,Q20_SHARED,Q21_SHARED,Q75_SHARED_1,Q75_SHARED_2,Q75_SHARED_3,Q75_SHARED_4,Q75_SHARED_5,Q75_SHARED_6,Q75_SHARED_7,Q75_SHARED_8,Q37_SHARED_1,Q37_SHARED_2,Q37_SHARED_3,Q37_SHARED_4,Q37_SHARED_5,Q37_SHARED_6,Q37_SHARED_7,Q37_SHARED_8,Q38_SHARED_1,Q38_SHARED_2,Q38_SHARED_3,Q38_SHARED_4,Q38_SHARED_5,Q38_SHARED_6,Q38_SHARED_7,Q38_SHARED_8,Q40_SHARED_1,Q40_SHARED_2,Q40_SHARED_3,Q40_SHARED_4,Q40_SHARED_5,Q40_SHARED_6,Q40_SHARED_7,Q40_SHARED_8,Q41_SHARED_1,Q41_SHARED_2,Q41_SHARED_3,Q41_SHARED_4,Q41_SHARED_5,Q41_SHARED_6,Q41_SHARED_7,Q41_SHARED_8,Q43_SHARED_1,Q43_SHARED_2,Q43_SHARED_3,Q43_SHARED_4,Q43_SHARED_5,Q43_SHARED_6,Q43_SHARED_7,Q43_SHARED_8,Q52_SHARED_1,Q52_SHARED_2,Q52_SHARED_3,Q52_SHARED_4,Q52_SHARED_5,Q52_SHARED_6,Q52_SHARED_7,Q53_SHARED_1,Q53_SHARED_2,Q53_SHARED_3,Q53_SHARED_4,Q53_SHARED_5,Q53_SHARED_6,Q53_SHARED_7,LOB,quarter,year,wave
R_3ZSdgqaQ1DLjvdT,45,1,2,34,2,4,5,Business owner ,7,,1,,1,1,,,,,1,,,,,,,,2,,,,,,,,4,,2,2,,,,,,,,,,,,,3,,4,4,,,,1,1,1,,1,1,,5,5,3,,2,3,,1,4,2024,2
R_5mqm3ld8By7P2kJ,52,1,1,14,2,4,3,project manager,8,,1,1,,1,,,,,1,,,1,,,,,4,,,5,,,,,4,5,,4,,,,,1,,,,,,,,4,4,,4,,,,1,1,1,1,1,1,1,5,5,5,5,5,4,5,1,4,2024,2
R_1uQgmpOuApiFicG,32,1,1,37,2,2,3,Senior director,5,,,,,1,,,,,,,,1,,,,,,,,4,,,,,,,,3,,,,,,,,1,,,,,,,,4,,,,1,1,1,1,1,1,1,4,3,3,4,4,3,3,1,2,2025,4
R_6dH5dCYsEqKbtpv,52,1,1,11,1,4,6,full time,8,1,,,1,1,1,,,,,,1,1,,,,,,,5,5,,,,5,,,5,5,5,,,1,,,1,1,1,,,5,,,5,5,5,,,,1,,,,1,1,,5,,,,5,5,1,2,2025,4
R_3RaAtXFheiq7Jjr,39,1,2,10,1,4,6,Head of Technical Department,7,,,,,1,1,,,,,,,1,,,,,,,,5,,,,,,,,4,5,,,,,,,1,,,,,,,,4,3,,,1,,,,,,,4,,,,,,,1,2,2025,4
R_6c7zUhpmwzIyQvT,26,1,1,44,1,4,5,General Manager,5,1,1,1,1,1,1,1,,,1,,,,,,,,2,,,,,,,4,3,4,4,4,4,4,,1,1,1,,1,1,1,,4,4,4,4,4,4,3,,1,,1,1,1,1,,4,,3,4,4,4,,1,2,2025,4
R_1QDQUaZOPLImbem,26,1,1,21,1,4,5,Accountant,8,1,1,,1,,1,,1,1,,,,,,,,5,,,,,,,,5,4,,4,,3,,3,,,,,,,,,2,3,,1,,4,,1,1,1,,1,1,1,1,2,3,,5,4,3,3,1,2,2025,4
R_3mf6f3ofcj6PKo5,41,1,1,11,2,1,2,Fryer cook,14,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,1,1,1,1,,1,,4,5,4,4,,3,,1,2,2025,4
R_1dKyoaELoyskaDV,30,1,1,11,1,4,7,ceo,8,1,,1,,1,,1,,1,,,,1,,,,4,,,,4,,,,4,,4,,4,,4,,1,,,,,,,,4,,4,,4,,4,,1,,,,,,,4,,,,,,,1,2,2025,4
R_79cPThyUYpGCeEs,36,1,1,46,1,4,8,managers,3,,,,1,1,,,,,,,,1,,,,,,,,5,,,,,,,4,5,,,,,,,,1,,,,,,,5,3,,,,1,,,,,,,4,,,,,,,1,2,2025,4
R_7RlZfgd0R5Kocrn,73,8,2,38,1,1,2,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,5,3,,,5,3,3,2,2,2025,4
R_1kMwUrlPFZV9we0,74,8,1,44,1,2,3,None,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,4,,,4,4,4,2,2,2025,4
R_7QEIYQcliwyeold,75,8,2,44,3,4,5,retired,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,3,3,,3,3,3,,2,2,2025,4
R_5MSdOzcFdQ1WuM7,58,1,2,44,1,2,4,Manager,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,3,3,,,,2,,2,2,2025,4
R_5tr784NMtXa4hot,67,1,1,5,1,2,2,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,5,3,3,4,3,4,4,2,2,2025,4
R_7ND2hjbYVqmi2s7,71,8,1,4,1,5,5,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,3,2,3,2,2,2025,4
R_7OlAM8sxKNIcBi3,64,9,1,5,1,3,3,Engineer ,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,3,3,1,,2,3,3,2,2,2025,4
R_61ckpbNLlvfufXH,66,8,2,25,2,2,3,Disabled ,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,4,4,3,4,4,1,2,2,2025,4
R_1BXWo8V2Ks3yCF1,67,8,1,34,1,5,3,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,5,5,5,,4,3,4,2,2,2025,4
R_6sHsXUkFkhr9KRX,76,8,2,48,6,4,1,retired,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,3,2,2,,2,2,,2,2,2025,4
R_3WgmHY7vPDmqTYZ,66,9,2,15,1,4,4,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,3,5,,,5,5,5,2,2,2025,4
R_1r98RAtf2bJU8Xy,55,1,2,31,1,4,5,Bookkeeper ,14,1,1,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,1,,,,,,,,3,3,,,,,,,1,1,1,,1,1,1,5,5,1,,2,2,2,2,2,2025,4
R_5I9Loqp6sv9pxN6,59,3,1,7,1,3,6,Owner,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,5,5,4,,5,3,3,1,1,2025,3
R_1BXfXQyDbGKaOP1,58,3,2,26,1,1,1,President ,9,,,,1,,,,,,,,1,,,,,,,,5,,,,,,,,5,,,,,,,,1,,,,,,,,5,,,,,1,1,1,,1,1,1,5,5,5,,5,5,5,1,1,2025,3
R_6HJJ2J3v2eYoFb3,78,3,1,33,1,4,4,Owner,2,,,,1,,1,,,,,,1,,,,,,,,3,,,,,,,,4,,4,,,,,,1,,,,,,,,3,,3,,,1,1,,,1,1,1,3,4,,,4,4,4,1,1,2025,3
R_3QtFWXsxSG9ClsB,34,1,1,33,1,5,5,Retail Entrepreneur,5,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,4,,4,3,4,4,4,3,,,,,,,,,5,,5,3,4,4,5,5,,,,1,1,1,,,,,3,3,4,,1,1,2025,3
R_3Y4YTWDbKM4Ir9F,59,1,1,44,1,3,3,Owner ,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,1,5,5,5,1,1,2025,3
R_5VR9dEQ1wbSOOR3,60,3,2,38,1,4,6,Social Media Director ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,5,5,4,3,4,5,5,1,1,2025,3
R_3lQGacJk7IgdrCp,57,3,2,22,1,2,5,Office manager,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,3,3,3,,3,3,3,1,1,2025,3
R_7lLAOioXTU3aytL,48,3,1,38,1,5,6,CEO,5,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,1,1,1,,1,1,1,4,4,3,,4,4,4,1,1,2025,3
R_16nXPsOOsr3HiC1,64,1,1,44,2,5,7,Operations manager ,5,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,1,1,1,1,4,3,4,3,3,4,3,1,1,2025,3
R_1qDrWvhH9xaiUvC,40,1,2,32,1,5,6,manager,3,0,0,0,0,0,0,1,0,,,,,,,1,,,,,,,,5,,,,,,,,5,,,,,,,,1,,,,,,,,5,,1,0,1,0,1,0,1,5,,5,,5,,5,1,3,2024,1
R_7wcVhrriuLflqWR,61,3,1,22,1,4,5,Owner,5,0,0,0,0,1,1,0,0,,,,,0,0,,,,,,,,,,,,,,,3,2,,,,,,,0,0,,,,,,,3,3,,,1,1,1,1,0,1,0,1,1,1,1,,2,,1,3,2024,1
R_397HPfitVRC8lsR,52,3,2,11,1,4,7,Owner,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,5,3,3,,3,3,,1,3,2024,1
R_38N09DzIOLji59f,32,1,1,33,3,5,5,onwer,2,0,0,0,1,0,1,0,0,,,,0,,0,,,,,,,,,,,,,,5,,5,,,,,,0,,1,,,,,,5,,5,,,0,1,0,1,1,1,1,,5,,5,5,5,5,1,3,2024,1
R_5E7lE98mZSIHqLi,43,3,2,48,1,2,6,Home healthcare owner,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,3,3,3,,4,4,3,1,3,2024,1
R_5xLiGFvtYov5gjC,43,1,2,19,1,4,5,business professional,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,2,5,1,2,,5,3,1,3,2024,1
R_1dj4uVZyXTImpkc,36,1,1,44,2,5,4,Finance Director ,8,0,1,0,0,1,0,0,0,,0,,,0,,,,,,,,,,,,,4,,,5,,,,,0,,,1,,,,,5,,,5,,,,1,1,0,0,1,1,1,5,5,,,5,5,5,1,3,2024,1
R_5Yq26bhsfrnnTzz,61,3,1,37,5,3,4,Business Owner ,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,1,3,3,3,,,3,3,1,3,2024,1
R_34vpzwGMKTz4nLA,64,3,2,11,1,5,1,creative consultant,14,0,0,0,0,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,1,,,,1,1,1,1,1,1,1,3,3,3,3,4,4,4,1,3,2024,1
R_7JFuAzkoEoZQLV2,32,1,2,25,1,3,2,Owner,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1,0,4,5,,,5,5,,1,3,2024,1
R_7cN3BuG6NCI14Cl,59,3,2,14,1,2,4,Bookkeeper ,14,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1,0,5,3,,,3,3,,1,3,2024,1
R_3IrS3i5IsJI8Dvo,72,8,2,34,1,1,3,retired,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,3,3,2,,2,4,2,2,1,2025,3
R_3wzb7AuNYmqfHNv,66,8,2,33,1,2,3,Letter Carrier ,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,3,4,5,,1,1,3,2,1,2025,3
R_1PbFcQ1XboK3Vdl,64,2,2,33,1,5,2,Professor ,10,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,3,,,,,3,,1,1,1,1,1,1,1,5,5,5,3,5,4,3,2,1,2025,3
R_58EijRxs9UvNRW9,78,8,1,43,1,1,3,skilled trades,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,5,1,2,1,2025,3
R_7Rh7CBVg6JePmNP,67,8,1,33,1,4,1,retired,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,5,5,3,4,3,3,2,1,2025,3
R_3Sq6i58R4VvcVrP,72,8,1,15,1,2,2,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,3,3,3,,4,3,3,2,1,2025,3
R_1SYcuFQPXQ4yX73,35,1,1,44,1,5,3,,15,,1,,,,,1,1,,,,,,,,,,,,,,,,,,3,,,,,2,4,,1,,,,,,,,3,,,,,3,4,,1,,,,,1,,3,,,,,2,2,1,2025,3
R_71oKi4EYxeksrY9,85,8,1,10,1,3,6,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,4,,,4,4,4,2,1,2025,3
R_6PdTDIlaRmRJmwz,66,8,1,44,1,4,3,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,5,4,3,5,5,3,2,1,2025,3
R_5R54y4IjdZdXypu,62,9,2,10,1,1,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,3,3,,,3,3,3,2,1,2025,3
R_5foSEw5abYwNTGJ,60,8,1,39,1,1,3,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,3,3,3,,3,3,3,2,1,2025,3
R_5G6SXfyE6IvYiOm,61,8,1,43,1,6,2,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,4,2,,,3,3,2,1,2025,3
R_7IaG8jlTgwzJ8qN,68,8,1,39,1,1,1,Retired,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,3,4,3,5,4,4,2,1,2025,3
R_5JOS0FgJGBfZEDn,71,8,1,44,1,5,4,-99,15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,5,5,5,,5,5,5,2,3,2024,1
R_5kc62uX3betJXUJ,44,3,2,11,3,5,5,Owner operator,9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1,0,4,4,,,3,3,,2,3,2024,1
R_6vvQuLxUYNxfKP7,28,1,1,7,1,1,3,Jordan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2,3,2024,1
R_1OB1Ovy7jEPX1Fp,59,1,1,26,2,3,3,Supervisor ,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2,3,2024,1
R_1cT7S6mKOC4WHaW,71,8,2,19,1,1,3,-99,15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,3,4,3,,3,2,,2,3,2024,1
R_31au20zsk8rMUv0,64,2,2,43,1,4,2,Clerk,5,0,1,0,0,0,0,1,1,,-99,,,,,-99,-99,,,,,,,,,,1,,,,,1,1,,0,,,,,0,0,,1,,,,,1,1,1,1,1,0,1,1,1,3,2,3,,3,1,4,2,3,2024,1
R_6eHsg646CNoWW2t,70,8,2,10,1,1,4,-99,15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1,0,3,3,,,3,3,,2,3,2024,1
R_6gSIpw9sZaDZdQl,81,8,2,23,1,2,3,-99,15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,4,5,4,4,3,4,2,3,2024,1
R_1VOYgqiqd9TKR8G,66,8,2,6,1,4,3,-99,15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,2,2,2,,2,2,2,2,3,2024,1
R_7x5XaSQ8mgWaciR,74,2,2,48,1,4,3,associate,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,1,3,3,3,,,3,4,2,3,2024,1
R_3GcAb0pvHqULCzC,66,8,1,18,1,2,2,Retired,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,3,3,1,,1,1,3,2,3,2024,1
R_5LO7XCM6DlGeb7P,66,8,2,50,1,4,2,-99,15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,3,3,3,,4,4,4,2,3,2024,1
R_5C9NXiPmSB7QoHx,74,2,2,1,1,2,3,finance secretary,14,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,3,2,2,,4,1,4,2,3,2024,1
R_72gSLMwj5VSK54M,58,1,2,23,1,4,8,Supervisor ,14,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,4,2,4,,1,1,2,2,3,2024,1
R_1gbHBMdXehxvzQQ,71,8,2,15,7,4,1,-99,15,0,1,0,0,0,0,1,0,,-99,,,,,-99,,,,,,,,,,,1,,,,,1,,,0,,,,,1,,,1,,,,,1,,1,1,1,0,1,1,1,3,3,3,,2,2,2,2,3,2024,1
R_5GE6qp6mwNmBbvn,48,3,2,15,1,1,1,Owner,15,0,0,0,1,0,0,0,0,,,,-99,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,5,,,,,1,1,0,0,1,1,1,5,2,,,5,5,4,2,3,2024,1
R_6BrPHwziMBajVoI,39,7,1,34,2,3,1,-99,15,1,1,0,1,1,0,0,0,-99,-99,,-99,-99,,,,,,,,,,,,5,5,,4,5,,,,0,0,,1,0,,,,5,5,,5,5,,,,1,1,1,0,1,1,1,4,5,3,,5,5,5,2,3,2024,1
R_32rx0lgNq5oGMIu,66,8,2,10,1,2,2,training coordinator team lead,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,5,5,5,4,5,4,5,2,4,2024,2
R_7251viY6ym87zyd,44,6,2,36,1,1,1,Disabled,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,4,3,,,3,5,5,2,4,2024,2
R_6N47gytQzNnHDEr,74,2,2,44,1,2,1,Assistant ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,3,3,2,,2,4,,2,4,2024,2
R_6wccD3tlOgy5xl0,54,9,2,21,1,4,1,Disabled ,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,3,3,3,,3,3,,2,4,2024,2
R_52Kl5kOrtyz4NGh,53,1,2,39,1,1,2,Veterinary technician ,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,3,3,4,,3,3,3,2,4,2024,2
R_7zcOJN9ATIeCg5b,73,8,2,5,1,1,4,,15,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,,,,,,,,,1,1,1,1,,1,,1,1,1,,1,1,1,3,3,2,,3,4,4,2,4,2024,2
R_30o7ZvIiwK3N7NZ,59,1,2,37,1,4,6,coordinator,10,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,1,,,,,,,,2,2,,,,,1,1,1,1,1,1,1,4,4,4,4,4,4,4,2,4,2024,2
R_7lm37600km26DnP,34,1,2,36,1,4,5,Manager,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,3,3,2,3,4,4,2,4,2024,2
R_5uquqX4EE9DbfEh,76,8,2,10,1,3,2,,15,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,1,1,1,,,1,1,3,4,4,,,3,3,2,4,2024,2
R_7LgKZcH51kF0cwk,53,1,1,5,1,4,7,CMO,7,,1,,1,,,1,,,1,,,,,,,,4,,,,,,,,5,,4,,,4,,,1,,,,,,,,3,,2,,,2,,1,1,1,1,1,1,1,4,5,4,5,5,5,5,2,4,2024,2
R_5fjt8pTYJ4IC8HQ,66,8,2,16,1,1,4,Retired,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,4,4,3,4,4,4,2,4,2024,2
R_71DgoJNzSxkenPH,70,8,1,33,1,1,3,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,4,3,,4,3,3,2,4,2024,2
R_6YQvhZ7j6zGBSXD,57,2,2,1,1,2,7,Customer service,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,2,2,,,3,3,3,2,4,2024,2
R_78Bqf2OIB7C6Vpx,76,8,1,48,1,2,3,,15,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,1,1,,,1,1,1,3,3,,,3,3,3,2,4,2024,2
R_7RO06zClFKcXCXr,68,8,1,10,1,3,3,Disabled,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,4,4,3,3,3,3,2,4,2024,2
R_6hSdeR3Rb1P7JXO,69,8,2,49,1,1,3,I,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,3,4,2,,4,4,5,2,4,2024,2
